location,area_sqft,bhk,bathrooms,floor,total_floors,age_of_property,parking,lift,actual_price
nerul,479.53,2.45977,2.529589,7,3,10.9,0,0,5085466
ulwe,1664.94,3,1,30,13,6.5,0,1,21488508
airoli,829.07,4,2.529589,0,35,8,0,0,13311687
kharghar,585.74,4,2,25,30,10.1,1,0,6861519
panvel,872.52,3,2.529589,21,27,11.2,1,1,10811592
airoli,791.73,1,2.529589,17,10,9.9,0,0,7628999
kharghar,167.06,2,2,26,8,4,0,0,2583704
ghansoli,837.59,4,2,22,18,10.5,0,1,12142223
panvel,456.97,2,4,9,7,6.8,0,0,7364907
ulwe,1461.62,2,4,16,7,8,0,1,19728976
kharghar,983.11,2,3,27,37,8.2,1,0,13813656
ulwe,1047.24,2,1,25,13,6.2,0,1,12158425
kharghar,1337.27,3,4,30,9,6,0,0,17822636
panvel,9859.37,1,1,8,25,4.1,1,1,143709572
vashi,985.46,2.45977,4,3,20,9.2,0,1,11614294
airoli,1228.22,3,4,3,6,13.1,0,0,17567813
kharghar,5007.23,2,4,15,23,6.6,0,0,78147891
cbd belapur,992.36,1,2,30,10,11.5,0,0,13746869
nerul,1639.88,1,2.529589,14,6,6.3,0,0,16027500
nerul,704.81,3,3,6,23,7.7,0,0,10921874
kharghar,379.55,3,1,16.554003,1,5.2,0,1,5523638
cbd belapur,564.08,2,1,14,21,5.5,0,0,5449266
cbd belapur,9254.87,2,2,19,11,13.9,1,1,139020762
ulwe,4.82,2.45977,3,23,3,4,0,1,78268
kharghar,658.62,2,1,24,17,12,0,0,8764419
kharghar,1145.45,2,1,11,13,2.4,0,0,17902200
nerul,727.89,1,2.529589,24,38,10.6,0,0,10648820
vashi,324.08,4,2,22,11,8.6,1,1,4498940
belapur,968.35,3,3,29,1,12.7,1,1,16643085
nerul,924.75,2,1,18,2,10.4,0,1,12056954
airoli,409.78,4,3,2,15,7.5,0,1,5386288
kharghar,1577.02,1,4,10,26,15.5,0,0,19873603
ulwe,2367.63,4,1,27,14,3.9,1,0,39990795
ghansoli,881.9,2,2,24,24,6.4,0,1,15271643
cbd belapur,418.6,2.45977,1,16.554003,30,12.1,1,1,5720534
ulwe,982.91,2,1,15,16,14.4,1,0,19480352
belapur,871.41,2,2.529589,1,3,6.8,0,1,8026538
panvel,984.81,4,1,19,17,1.8,0,0,13661955
nerul,1187.01,2,4,15,6,10.5,0,0,15327833
kharghar,1046.3,2,4,6,1,23.6,0,1,13124327
belapur,770.36,2,4,3,22,9.2,1,1,9360166
kharghar,803.19,2.45977,4,6,17,7.5,0,0,10317915
panvel,1068.25,2,1,16,18,1.1,0,0,14511656
panvel,992.88,2,3,13,38,6.1,1,1,12113178
kharghar,1112.69,1,1,27,32,2.2,0,0,12473034
airoli,1264.32,2,2.529589,4,22,3.2,0,0,14295129
panvel,966.51,4,1,30,13,14.2,1,0,19395654
airoli,847.05,2.45977,4,16.554003,16,2,1,0,14709111
ghansoli,957.54,4,4,12,34,12.2,1,1,16792924
belapur,8999.11,1,4,12,9,11.3,0,0,103258834
panvel,1183.83,2,2.529589,34,9,8,0,0,19684995
nerul,123.09,1,2,14,12,16.8,1,1,1429567
belapur,886.9,2,2.529589,10,35,4.1,0,1,14154814
nerul,677.65,3,2,25,7,8.8,0,1,5754881
airoli,448.68,3,3,17,10,8.3,0,1,8730053
ulwe,748.54,2,1,23,19,7,0,0,12398927
airoli,1190.05,2,1,0,16,5.6,0,0,17538963
ulwe,934.97,1,2.529589,26,8,2.4,1,1,17439480
belapur,1113.2,1,2,4,3,11.6,1,1,13577214
panvel,938.71,4,2.529589,9,33,16.2,0,0,12665272
nerul,906.52,2.45977,4,13,3,5.7,0,1,12583200
belapur,1297.98,2,2,34,36,6.4,1,0,18172690
belapur,929.51,2,3,32,23,11.8,0,0,16058661
nerul,1143.51,2,2,6,6,11.3,1,0,13777763
nerul,1051.48,2.45977,2,2,24,2.6,1,0,16745391
kharghar,912.85,4,1,2,4,0.4,1,0,15640231
belapur,803.73,2,2,2,12,11,0,0,14330185
panvel,1834.96,2.45977,1,25,19,10.3,0,1,22186480
nerul,3182.47,4,4,25,5,3.9,0,0,43678454
panvel,45.27,1,3,2,10,2.2,1,0,1117238
nerul,1522.15,2,1,6,31,6.6,1,0,24592384
panvel,614.21,2,2.529589,16.554003,9,15.9,0,1,9536986
kharghar,401.99,3,2,9,5,14.4,0,0,5079265
belapur,1042.02,4,4,21,14,8.7,0,1,18360608
panvel,796.41,3,3,29,32,9.5,1,1,11323897
belapur,1087.52,2.45977,2.529589,19,37,7.7,1,1,9784169
ghansoli,3788.7,1,4,22,9,23.2,0,1,58093479
cbd belapur,1574.9,3,1,5,20,11.7,1,1,19923983
panvel,718.71,3,1,10,39,14.7,0,1,13101308
ghansoli,933.41,2.45977,1,13,1,1.4,0,0,11567715
ghansoli,1577.95,3,4,5,28,8.4,0,0,31516423
airoli,917.76,2,2,18,17,3,1,1,10198250
nerul,937.18,2,2,21,24,8.2,1,1,13082156
kharghar,778.39,2,1,15,21,2.2,1,0,8846548
airoli,1676.64,2,4,31,26,3.2,0,0,21572741
belapur,903.25,1,4,26,25,0.2,1,0,10098819
panvel,1285.13,3,4,33,34,7.4,0,1,22940284
ghansoli,26.68,3,1,4,31,23.8,1,0,932195
airoli,1316.53,2,4,26,39,10.1,0,0,16186433
belapur,881.69,3,2,32,25,2.6,0,1,11836611
kharghar,609.44,4,4,11,11,9.1,1,1,9350546
panvel,1233.97,1,4,23,13,14.4,0,1,12185741
belapur,856.6,3,4,31,26,23.8,0,1,9762427
cbd belapur,1433.12,3,2.529589,24,7,6.1,0,0,25426153
panvel,133.11,2,2.529589,2,37,17.7,0,1,2755057
ghansoli,1004.73,2,2.529589,29,36,0.9,0,1,13218227
vashi,1313.9,3,2,31,14,6.8,1,1,21595119
belapur,644.99,2,3,11,37,14.2,0,1,10283522
kharghar,769.92,2,1,4,15,8.4,0,0,15332614
belapur,1405.49,2.45977,3,26,8,20.6,0,1,21096934
nerul,697.66,2,1,26,15,6.2,0,0,7850089
belapur,1621.08,3,3,5,36,4.7,0,1,28547343
panvel,819.19,1,2,14,39,6.7,0,0,9437699
kharghar,1235.84,3,4,10,19.84628,4.3,0,1,18150059
nerul,895.02,2,2,22,25,9.5,0,0,12218733
kharghar,1231.49,1,1,23,36,2.6,0,1,22772462
airoli,1193.65,4,2.529589,16.554003,36,11.4,0,0,21286358
ghansoli,1732.87,2,2.529589,31,15,6.9,1,0,18110169
nerul,1218.81,2.45977,2,21,29,5.5,1,0,13073456
airoli,936,1,2.529589,18,19,3.1,0,0,15442355
nerul,799.8,2,3,16.554003,6,4.1,1,1,14365399
kharghar,765.74,1,4,24,39,14.3,0,0,8703932
airoli,1167.21,4,3,28,12,6.6,1,0,14350286
kharghar,1738.35,2,2.529589,24,24,7.9,1,0,22008701
kharghar,1824.29,2,1,0,16,6.5,0,0,21500843
kharghar,1011.62,2.45977,2.529589,2,8,7.7,1,1,13380852
ghansoli,628.09,2,3,2,1,2,1,0,6095882
panvel,1789.89,2.45977,3,27,39,6.5,1,1,17638961
cbd belapur,269.93,2,2,25,39,3.3,0,0,4861380
panvel,1431.85,2,3,9,39,13.1,1,1,24472020
ghansoli,1124.62,2,3,6,27,13.4,1,0,17165804
panvel,238.51,2,4,29,19,17,0,0,3228617
cbd belapur,1012.85,4,2,1,19,9.1,0,1,17787075
panvel,478.99,3,4,10,11,9.4,0,0,9470667
nerul,545.16,2,3,27,1,1.9,0,1,8182487
ghansoli,1530.85,2,2.529589,15,27,8.1,0,0,16959365
nerul,711.02,2.45977,4,9,12,11.4,1,0,7038059
cbd belapur,1210.45,2,4,11,24,7.2,0,1,18157159
panvel,492.81,1,2,27,28,2.7,0,1,9380518
panvel,811.32,3,1,24,17,13.8,1,0,8657909
panvel,1300.7,3,2,19,1,11.3,0,0,23969023
nerul,739.75,1,4,1,33,8.2,0,0,11394870
cbd belapur,1123.97,2,4,15,21,3.5,0,1,11620991
kharghar,1295.83,3,3,12,18,15.7,1,0,15261303
ulwe,1034.73,3,4,12,2,3.1,0,1,15061959
ghansoli,681.47,3,2.529589,9,28,8.8,1,1,12937596
nerul,742.53,2,3,16,26,13.1,1,1,12200750
kharghar,999.37,2,1,16,10,0.7,0,0,14971631
cbd belapur,790.93,3,1,6,1,0.9,0,0,16146466
kharghar,438.03,1,2.529589,2,23,6.6,0,0,5480381
ulwe,70.48,3,3,23,33,10.6,0,0,984418
nerul,1228.43,1,2.529589,27,8,5.2,1,0,15280347
panvel,873.8,4,3,10,30,9.9,0,1,10283192
panvel,1102.62,2,3,22,18,11.8,0,0,10548042
airoli,1438.49,2.45977,4,24,9,5.1,0,0,17755000
kharghar,245.89,3,3,26,7,2.3,0,0,3375725
airoli,438.17,2,3,32,36,4.3,1,1,5072237
panvel,1569.46,1,1,32,14,9.9,0,1,22801419
nerul,1241.05,4,2.529589,7,23,8.3,1,0,13865237
airoli,798.36,4,2.529589,3,34,12.3,0,0,9727245
panvel,925.65,3,1,16.554003,15,0.5,0,0,14452896
airoli,1080.22,1,1,13,2,21.5,0,0,17309419
ulwe,241.9,3,3,14,22,1.8,0,1,5016522
belapur,805.48,4,2,2,16,7.6,0,0,11671777
ghansoli,941.19,2,3,9,38,14.7,0,1,15599686
kharghar,4150.97,3,2,14,29,0.6,0,0,78168440
cbd belapur,705.35,2.45977,4,18,19.84628,5.7,0,0,7117545
airoli,1234.78,3,4,25,30,2.2,1,0,23708314
panvel,923.54,2,2.529589,4,7,4.1,0,1,13391176
panvel,836.05,1,2.529589,31,36,6.5,0,0,15467881
ulwe,1255.38,3,2.529589,25,23,15,1,0,16797300
ghansoli,298.85,4,4,24,30,0,1,1,6993946
nerul,829.82,2,2,16.554003,9,11.7,0,1,9486584
airoli,211.52,2,2.529589,17,18,2.4,1,1,2512477
kharghar,1449.39,3,2.529589,29,2,20.2,0,0,16983629
nerul,1376.48,4,2.529589,16.554003,39,2.2,1,0,19921510
ghansoli,782.98,1,4,3,14,1.1,1,0,13588388
panvel,903.37,2,3,12,16,9.3,0,0,10283939
nerul,1221.49,2,2.529589,15,6,2.4,1,0,11710488
cbd belapur,291.25,2.45977,1,23,19.84628,11.6,1,1,3407919
kharghar,631.15,3,1,0,16,8.2,1,0,8036089
belapur,1062.4,3,4,16.554003,34,4.3,1,0,12221078
belapur,510.74,2,1,25,7,5.8,0,1,4574620
airoli,1306,1,2,16,33,17.5,1,1,14145458
nerul,848.02,4,1,22,29,9.5,0,0,18309998
ulwe,961.38,2,1,24,31,4.5,0,1,18118920
kharghar,4659,2,1,3,25,3.3,1,1,58577976
airoli,959.01,3,1,0,11,5.7,0,1,9826845
kharghar,1291.59,4,2,16.554003,27,10.5,1,0,27584865
airoli,1657.65,2,1,28,20,5.8,1,0,29584317
vashi,1099.06,2.45977,3,9,29,9,0,1,15256295
nerul,100.87,2,1,25,29,15.2,0,0,750665
panvel,757.95,4,2.529589,2,5,8.8,0,0,15040622
vashi,639.76,2,1,13,28,3.2,1,0,9532946
ghansoli,1417.29,2.45977,2.529589,16,19,2.8,1,0,18141522
vashi,1226.1,3,1,9,15,7,0,1,19492742
cbd belapur,1413.73,2.45977,3,22,5,1.5,0,0,16761446
kharghar,643,3,1,26,17,12.6,0,1,9221620
ghansoli,917.83,2,4,34,22,5.2,0,1,17061797
ghansoli,1123.72,3,2.529589,32,5,3.9,1,0,18918166
ulwe,1224.74,3,1,20,22,4.4,0,1,17867921
airoli,689.67,2,1,26,24,8,0,0,6024012
ulwe,670.2,1,4,30,29,0.5,0,1,7954354
airoli,700.26,3,2,30,24,6.9,1,1,10807121
kharghar,558.69,2,1,0,22,5,0,0,7964451
nerul,739.57,2.45977,2,30,23,7.9,0,0,5861026
panvel,1072.58,2.45977,2,15,15,8,0,0,14144587
nerul,1077.35,3,1,5,24,9.7,0,1,12604074
vashi,1414.56,3,3,31,27,3.1,1,0,25942483
vashi,1042.21,1,3,22,13,9.6,0,0,9687622
kharghar,1052,3,2.529589,16.554003,26,14.6,0,0,16488870
nerul,1406.93,1,1,13,11,1.3,1,1,19452607
ghansoli,1490.43,2.45977,4,3,37,13.3,0,0,27120156
airoli,1076.46,2.45977,3,17,24,10.8,1,0,9571962
cbd belapur,430.67,2,2,24,1,7.1,1,0,4414122
ulwe,588.94,2,4,5,30,24.2,1,1,6578835
belapur,1632.64,2.45977,2.529589,0,36,13.2,1,1,14162184
ulwe,700.86,2.45977,3,34,6,5.5,0,0,11583450
panvel,896.64,2,4,4,8,14.4,0,0,7815736
nerul,1253.57,3,2,24,9,9.7,0,1,16133517
kharghar,1056.14,2.45977,2.529589,6,39,4.5,1,1,14983547
belapur,1481.27,1,1,15,20,5,0,1,21749900
airoli,1798.4,4,2.529589,22,5,13.9,0,1,29012993
panvel,520.14,4,1,2,13,3.3,1,1,8744846
ghansoli,1538.56,3,1,11,30,5.8,0,1,16497191
panvel,1384.37,4,2.529589,14,38,14.3,0,0,16200360
nerul,1439.54,1,1,4,18,10,1,0,20113544
ulwe,888.88,1,1,11,21,17,0,0,10068604
panvel,1732.83,2,4,6,34,6.6,0,0,29166551
panvel,754.61,1,4,4,25,17.6,0,1,10601369
vashi,554.87,3,4,9,28,13.6,1,0,6359586
kharghar,571.4,2.45977,1,9,26,6.9,0,1,9954080
airoli,598.42,4,2.529589,10,2,9.8,1,0,10695800
panvel,1145.18,1,3,12,9,4.1,1,0,15829757
kharghar,465.94,2,3,13,31,17.5,1,1,6238149
kharghar,1372.42,2.45977,4,28,18,9.3,0,0,24465705
vashi,205.82,1,3,16.554003,31,13.2,0,1,3031555
nerul,1332.89,2,2.529589,11,21,4.5,1,0,22398435
kharghar,1053.01,4,2,11,8,4.5,1,0,22531021
airoli,1836.22,3,4,8,31,11.3,0,0,29165711
cbd belapur,1186,4,3,24,11,23.2,1,1,20963866
nerul,904.47,2.45977,4,4,34,14.5,0,1,10511579
nerul,1861.3,2,3,3,26,3.8,0,0,19755089
cbd belapur,875.6,2.45977,2,13,13,11.5,0,1,13794402
belapur,1394.12,2,3,23,12,0.9,0,0,19530680
kharghar,1241.93,2,2,10,10,16.4,0,0,23921926
panvel,636.04,2,3,5,15,11.9,1,0,11604674
ghansoli,1224.68,2,2.529589,25,13,10.7,1,0,19207561
airoli,803.5,4,2,9,13,6.5,1,1,12903416
vashi,1407.5,2.45977,3,4,22,10,1,0,20314651
vashi,679.93,4,2.529589,18,35,7.1,0,0,9958093
ghansoli,768.92,4,1,34,13,1,0,1,8496089
airoli,1030.18,1,2,13,36,6.1,1,1,15157850
kharghar,726.39,4,3,12,8,0.6,0,1,10606944
kharghar,1532.88,2,3,26,37,18.1,0,0,14848881
kharghar,527.56,2,3,28,34,3.3,1,1,8880572
panvel,1325.17,2.45977,3,12,2,8.1,0,0,14188326
airoli,1278.06,2,2,25,2,7.6,0,0,12155944
nerul,1421.54,2.45977,2,15,9,6.1,0,0,15623134
cbd belapur,590.94,2,1,15,24,4.2,0,1,11306180
ulwe,527.96,1,2.529589,13,24,12.9,0,0,8383579
belapur,1157.74,2,1,10,5,13,0,0,18244919
nerul,887.83,3,1,1,15,1.1,0,1,17286419
belapur,1229.53,4,1,19,27,16.7,1,1,23531357
panvel,1197.64,1,2.529589,5,19,8.5,0,1,21649917
kharghar,1731.3,2.45977,2.529589,16,1,4.8,1,1,28349828
nerul,1131.3,2,2,1,28,3.4,0,1,16156568
panvel,1270.43,1,2,14,3,1.3,0,0,13248318
panvel,973.15,4,2,21,25,6.4,0,0,13210398
cbd belapur,760.54,1,1,1,33,25.7,0,0,11418382
vashi,973.28,1,4,14,12,1.1,0,0,17703417
kharghar,672.68,4,2.529589,25,35,9.5,1,1,13739940
kharghar,711.96,3,2.529589,34,10,6.3,0,0,7771389
kharghar,955.45,1,1,16.554003,9,9,1,1,13174422
airoli,421.02,4,1,16.554003,16,10.9,0,1,6220156
kharghar,1283.57,2.45977,2.529589,24,10,10.8,0,1,13673039
ulwe,830.47,2,2.529589,12,28,5.9,1,0,7150110
airoli,841.94,1,4,30,30,11.6,1,0,13042282
cbd belapur,630.68,2,2.529589,31,6,0.3,0,0,10395127
ulwe,1081.64,2,1,23,9,15.5,0,1,14138286
vashi,1301.66,1,1,16,35,7.7,1,0,16603157
ghansoli,835.6,2,3,28,9,14.6,0,0,13406789
nerul,891.86,2.45977,2.529589,17,21,10.1,0,1,11203950
kharghar,1307.18,4,4,5,33,19,0,0,26204667
nerul,1236.26,1,2,10,32,10.5,1,0,20368853
cbd belapur,968.77,3,2,2,39,19.4,1,1,17024991
ulwe,674.36,1,2,18,12,10.8,0,0,12336359
ghansoli,1414.75,2.45977,1,33,17,2.4,0,0,14047009
ghansoli,737.42,2.45977,3,27,11,1.4,0,1,9690467
panvel,896.28,2,3,9,7,12.9,1,1,9720795
nerul,1648.95,1,3,7,26,13.6,1,0,29419393
kharghar,1102.38,2.45977,2.529589,6,30,5.3,1,1,16689881
vashi,2025.91,2,3,25,30,10.3,0,0,30209785
nerul,1000.23,1,4,32,18,7,1,0,12528012
nerul,743.26,4,2,9,8,11.7,1,1,11968200
panvel,1445.83,1,3,27,31,5.6,1,0,14520988
panvel,969.13,2.45977,2,23,37,4.6,0,1,12064197
kharghar,794.59,4,4,31,38,10,0,0,8861857
ghansoli,952.15,3,4,30,10,9.9,0,0,14259865
airoli,1925.9,4,2,30,5,12.1,0,0,36024231
panvel,689.39,1,3,19,6,8.4,0,1,9460113
panvel,4705.44,2,3,32,3,9.9,0,0,81729096
panvel,277.37,4,3,3,18,8.7,1,0,5327003
airoli,1075.15,3,1,22,2,8.4,0,0,19155035
airoli,1257.33,2,2,18,34,4.3,0,0,22628336
airoli,985.44,2,2,12,9,5,0,0,12205140
vashi,889.16,4,2.529589,12,17,17.3,0,0,16013631
belapur,761.16,2.45977,1,13,11,3.9,0,1,11200907
airoli,647.68,1,2,27,27,14.3,1,1,7946088
kharghar,1195.27,2,4,22,22,10.3,1,1,14458629
panvel,1093.34,2,4,19,14,0.8,0,1,14605471
airoli,1579.66,1,2.529589,26,37,5.9,1,0,26383093
belapur,1461.17,2.45977,2,31,21,6.4,0,1,17364266
nerul,875.21,4,2.529589,19,12,8.3,0,1,18846356
nerul,1251.98,2,2.529589,7,6,3.7,1,0,24461920
airoli,934.67,1,2,9,33,12.9,0,0,14117358
cbd belapur,670.95,2,2.529589,21,30,2.3,0,0,8167802
ulwe,1143.55,2.45977,2,17,10,1.4,1,0,12878418
panvel,2007.74,2,2.529589,29,37,1,0,0,22317934
airoli,581.42,1,2.529589,19,22,4.6,0,1,5521254
nerul,1459.2,1,2,14,34,14.1,0,1,22172149
panvel,122.82,4,1,33,7,1.2,0,1,824504
ghansoli,1294.47,2.45977,4,12,34,1.5,1,1,12020362
panvel,1305.66,3,3,33,31,1.3,1,1,26738352
belapur,918.89,2.45977,1,8,34,5.3,0,0,15067913
nerul,1124.27,2.45977,3,14,6,11.7,0,0,12873786
airoli,855.72,4,2,29,32,14.2,0,0,12988255
airoli,1177.38,2.45977,2.529589,1,25,11.6,1,0,13737406
belapur,477.91,1,2.529589,8,30,10.5,0,0,8456886
kharghar,874.44,3,2,9,27,11.3,0,0,9121895
kharghar,1558.04,3,2,18,14,8.8,1,0,23830947
airoli,881.7,1,2.529589,16.554003,24,6.4,1,0,15413988
ulwe,868.51,2,2.529589,34,8,18.8,0,1,13893854
belapur,1174.9,1,1,33,20,12.6,0,1,19758446
belapur,779.67,2,1,28,11,1.9,0,1,13419723
kharghar,1228.72,2,3,17,6,17.9,0,0,16873551
nerul,63.69,2.45977,3,10,7,22.3,1,0,826945
belapur,535.45,1,1,15,27,3,0,0,9638370
nerul,961.52,3,3,5,5,8.7,0,0,10800945
nerul,1045.79,4,4,32,24,3.3,1,0,15803253
kharghar,1553.91,2.45977,2.529589,5,28,10.4,0,1,26246899
airoli,558.05,3,2.529589,31,19.84628,2.8,1,0,8543312
belapur,1422.05,3,3,31,9,14.9,0,0,24458392
cbd belapur,1357,2,2.529589,30,24,24,0,1,13829085
airoli,779.7,3,4,17,13,10.7,0,0,10526700
panvel,531.79,2,4,16.554003,13,7.8,0,0,9689561
vashi,527.74,2.45977,2.529589,14,26,5.9,0,1,8240030
kharghar,1589.42,4,4,34,30,12.8,1,1,21697111
ulwe,836.15,3,4,25,22,3.8,0,0,11032304
cbd belapur,1278.94,4,1,19,17,3,1,0,17663058
panvel,2007.43,2,3,3,31,6.8,1,0,37229194
nerul,1640.79,1,4,12,33,5.6,1,0,28396840
nerul,1317.21,4,3,16.554003,39,12.1,0,0,23629322
panvel,1145.07,2,4,9,27,12.5,1,0,15044748
airoli,917.62,2.45977,2,33,18,8.5,1,0,9402984
nerul,643.76,2,3,18,22,12.4,1,0,10809590
panvel,1389.86,2,2.529589,33,1,6.9,0,1,18028803
belapur,946.47,1,1,10,20,4.5,0,0,17769166
nerul,876.84,2,2,11,9,16.2,1,0,7987349
airoli,640.97,3,4,9,36,10.3,0,0,9860580
airoli,960.63,4,3,1,39,13.4,1,0,15070493
panvel,877.03,2.45977,2.529589,33,8,8.2,0,0,14063637
ulwe,1265.55,1,2.529589,27,31,15,1,0,17556127
panvel,1138.39,2,3,26,23,13.1,0,0,16115430
ghansoli,767.45,4,1,3,19.84628,5.8,1,1,8745115
kharghar,1828.66,3,2.529589,24,37,12.6,0,0,29966275
nerul,1735.89,1,3,15,9,8.2,0,0,17306338
airoli,482.53,2,3,15,17,14.9,0,0,6288204
panvel,981.38,3,2.529589,31,19.84628,9.1,1,0,15144952
kharghar,1056.02,2,2.529589,22,5,7.7,1,0,15321051
ulwe,615.94,3,4,19,9,1.2,0,1,6997419
airoli,7357.02,4,2,5,34,12,0,0,105982175
kharghar,394.16,2,2,16,32,14.2,0,1,5776653
ulwe,1361.51,2.45977,2.529589,26,18,11,0,1,20204246
nerul,648.29,2,2.529589,8,14,7.6,0,1,12171003
airoli,1331.25,1,4,15,1,11.1,1,0,16544238
kharghar,885.46,2,1,20,24,4.6,0,1,11128948
vashi,846.16,4,1,24,24,1,1,1,10422470
airoli,1462.38,3,2.529589,34,13,4,1,0,25171238
vashi,1362.1,2.45977,4,16,35,5.7,0,1,23077578
belapur,883.27,2.45977,3,0,32,22.8,0,0,10080388
belapur,669.1,2,2,5,28,14.1,1,1,6201268
vashi,951.22,1,2.529589,7,21,11.5,0,0,17749031
vashi,254.76,3,2,14,17,5.8,0,1,3175980
kharghar,364.85,2,4,7,29,10.6,0,1,3436956
airoli,1138.2,2,4,32,17,19.6,0,1,16278392
panvel,1182.69,2.45977,4,4,23,9.3,1,0,19788069
ulwe,259.73,2,4,7,8,15.5,0,1,4479329
ulwe,837.8,2.45977,3,15,4,13.3,0,1,13230653
kharghar,407.61,3,3,16.554003,24,1.9,0,0,7707855
cbd belapur,735.87,3,3,31,36,7.5,1,0,13140599
vashi,977.97,2,3,16.554003,29,15.3,1,0,15758353
nerul,565.98,4,1,30,20,7.3,0,0,9685385
airoli,1125.79,2.45977,4,9,5,7.4,0,0,15267281
nerul,977.43,2.45977,2.529589,9,18,1.6,1,0,15111682
airoli,1472.42,4,4,16.554003,37,11.4,0,0,28199144
airoli,1498.74,2,2,12,35,9.1,0,0,27782369
cbd belapur,764.24,1,1,24,4,10.8,1,0,10630873
panvel,1304.75,3,2,33,20,5.5,0,1,16300610
vashi,949.27,4,3,0,4,8.8,1,0,12081056
panvel,102.39,1,4,11,11,0.1,0,0,820111
kharghar,1074.34,1,2.529589,16.554003,16,1.5,0,0,12382782
belapur,1199.42,1,4,4,22,10,1,1,20411572
nerul,1497.37,2.45977,2.529589,14,36,15.1,0,0,19080915
panvel,1326.31,2.45977,1,15,32,2.1,0,1,13986799
airoli,397.43,3,2,31,26,9.3,0,0,5545225
airoli,524.64,2,4,26,11,2.8,0,1,5556647
airoli,1005.95,2,4,9,29,14,0,0,13658154
panvel,452.09,1,1,12,38,7.8,1,0,8429079
airoli,648.51,2.45977,2,23,28,13.3,1,1,9400425
kharghar,109.99,1,2,17,38,11.8,1,1,2098544
kharghar,699.16,2,2.529589,7,7,7.8,0,1,12902344
panvel,1305.82,2,4,29,7,17.5,0,1,23140224
airoli,1251.07,2,2,24,27,0.9,0,0,22188709
ghansoli,578.48,1,4,29,27,25.6,0,0,9403706
panvel,1689.34,3,2.529589,1,12,1.6,1,1,32471130
ghansoli,1206.05,3,3,5,8,13.8,1,0,17055571
airoli,848.83,1,4,25,28,8.2,0,0,13706820
ghansoli,656.58,2.45977,3,16.554003,19.84628,0.4,0,0,9330557
belapur,136.06,2,4,18,15,9,0,1,2041349
panvel,1166.66,2,1,17,19.84628,16.1,0,1,15510673
cbd belapur,1336.72,4,3,24,35,12.3,1,0,28998176
kharghar,874.35,3,1,9,18,13.5,1,1,15931046
nerul,842.74,1,1,16.554003,29,9,0,1,11080586
ulwe,923.57,3,1,25,3,0.7,0,1,14575639
ulwe,136.8,2.45977,2,20,30,20.7,0,0,1950826
nerul,765.53,2,2,31,23,12.5,0,0,11402078
kharghar,669.3,3,3,10,6,2.3,0,1,11634681
kharghar,771.8,4,4,12,19,16.7,1,1,11411305
nerul,1108.82,1,2.529589,23,9,13.1,1,0,12420274
panvel,881.33,2,2.529589,17,18,10.7,1,0,9815815
kharghar,936.8,2,2,14,15,4.9,1,1,16875869
ghansoli,802.92,3,2.529589,12,26,5.2,0,0,9746500
cbd belapur,1979.34,2.45977,2,18,23,8.4,1,1,18617730
kharghar,420.37,2,3,13,13,7.4,0,1,5988631
kharghar,7082.74,2,2.529589,16.554003,14,11.2,0,1,102414740
cbd belapur,1669.71,3,1,21,20,11.2,1,1,20031423
nerul,164.39,1,2,18,17,3.9,0,0,1942123
kharghar,1414.77,3,4,7,5,17.3,0,0,25471873
panvel,875.66,3,3,22,1,9.9,1,0,17889381
ghansoli,871.14,2,2,1,19.84628,1,0,1,11700795
airoli,3760.44,2,4,16.554003,22,6.2,0,1,42931653
vashi,1115.52,4,3,24,10,15.3,0,1,19445709
nerul,1121.32,2,4,34,35,6.9,0,1,13394930
panvel,1415.83,2.45977,2,24,2,7.5,0,1,17343822
airoli,1253.59,1,2.529589,8,12,10.7,0,0,20030988
cbd belapur,1120.35,1,2.529589,0,16,8.1,0,1,18562820
belapur,848.57,2,4,9,3,5.2,0,1,12047445
belapur,880.95,2,4,3,13,11.8,0,1,14239960
airoli,771.39,3,2,12,10,13.1,1,1,9692201
airoli,1524.55,1,3,20,31,1.7,0,0,16024483
kharghar,939.36,2,2,21,18,15.2,0,0,16973075
ulwe,1218.09,2.45977,1,11,21,12.1,0,1,15183252
nerul,585.47,4,4,25,1,0.7,1,0,11052011
panvel,816.09,3,4,11,5,5.6,0,0,10151582
panvel,359.41,4,2,25,14,10.7,0,1,6216951
vashi,987.76,2,2.529589,25,38,10.2,0,0,13898522
ghansoli,1190.85,2.45977,2.529589,16,23,8.4,1,0,16316427
ulwe,619.88,2,2,1,14,5,0,0,9530411
airoli,631.57,2,2.529589,20,20,8.6,0,0,7712264
belapur,906.8,2.45977,3,3,8,4.4,0,0,14652278
nerul,81.1,2,4,30,11,1.1,0,1,1239273
panvel,656.74,2,1,14,28,19.4,1,0,11354182
panvel,1597.84,1,3,27,8,13.6,1,0,17543059
panvel,1039.78,3,1,26,32,14.3,0,1,15429296
cbd belapur,1033.78,1,2.529589,10,16,5.6,0,1,16545580
nerul,948.6,3,2,0,15,5.5,1,1,15078683
cbd belapur,1258.77,1,2,3,18,10.6,0,0,15384902
nerul,963.85,2.45977,4,26,34,16.2,0,1,8549710
nerul,411.77,2,2.529589,20,26,18.2,0,1,3483416
kharghar,1471.31,2,1,15,4,11.5,1,0,15270943
ulwe,1526.78,1,2.529589,2,35,4.9,0,0,16503905
